$;1;33;23;0;0;0.601;0.877;0.76;1.084;1.61;1.105;1.13;0.088;0.994;*
$;1;33;23;0;0;0.601;0.877;0.76;1.106;1.611;1.106;1.13;0.088;0.996;*
$;1;33;24;0;0;0.601;0.878;0.76;1.074;1.609;1.106;1.129;0.087;0.995;*
$;1;33;24;0;0;0.601;0.878;0.761;1.074;1.61;1.106;1.131;0.088;0.996;*
$;1;33;25;0;0;0.601;0.878;0.76;1.075;1.61;1.105;1.131;0.087;0.996;*
$;1;33;25;0;0;0.601;0.877;0.759;1.072;1.61;1.104;1.13;0.086;0.996;*
$;1;33;26;0;0;0.6;0.877;0.76;1.44;1.611;1.106;1.13;0.087;0.995;*
$;1;33;26;0;0;0.601;0.877;0.76;1.12;1.609;1.105;1.13;0.087;0.995;*
$;1;33;27;0;0;0.602;0.878;0.76;1.435;1.61;1.105;1.13;0.087;0.994;*
$;1;33;27;0;0;0.601;0.876;0.76;1.406;1.61;1.105;1.13;0.087;0.994;*
$;1;33;27;0;0;0.598;0.878;0.759;1.075;1.607;1.103;1.13;0.088;0.995;*
$;1;33;28;0;0;0.6;0.878;0.76;1.407;1.61;1.105;1.13;0.088;0.996;*
$;1;33;28;0;0;0.601;0.878;0.76;1.468;1.607;1.105;1.13;0.088;0.995;*
$;1;33;29;0;0;0.6;0.878;0.76;1.262;1.61;1.105;1.13;0.088;0.995;*
$;1;33;29;0;0;0.6;0.877;0.76;1.082;1.611;1.106;1.13;0.088;0.992;*
$;1;33;30;0;0;0.601;0.878;0.761;1.085;1.611;1.106;1.13;0.088;0.994;*
$;1;33;30;0;0;0.601;0.878;0.762;1.068;1.606;1.104;1.13;0.088;0.996;*
$;1;33;31;0;0;0.598;0.878;0.761;1.404;1.61;1.105;1.13;0.087;0.995;*
$;1;33;31;0;0;0.601;0.878;0.76;1.456;1.61;1.103;1.128;0.087;0.995;*
$;1;33;32;0;0;0.601;0.878;0.76;1.088;1.61;1.105;1.129;0.088;0.996;*
$;1;33;32;0;0;0.601;0.878;0.76;1.084;1.611;1.103;1.128;0.087;0.996;*
$;1;33;32;0;0;0.601;0.878;0.76;1.477;1.61;1.106;1.13;0.088;0.996;*
$;1;33;33;0;0;0.601;0.878;0.76;1.457;1.609;1.105;1.129;0.086;0.995;*
$;1;33;33;0;0;0.601;0.877;0.758;1.456;1.611;1.105;1.13;0.087;0.994;*
$;1;33;34;0;0;0.602;0.877;0.76;1.127;1.611;1.105;1.13;0.087;0.991;*
$;1;33;34;0;0;0.601;0.878;0.759;1.082;1.61;1.105;1.13;0.088;0.995;*
$;1;33;35;0;0;0.601;0.877;0.76;1.351;1.609;1.105;1.129;0.087;0.994;*
$;1;33;35;0;0;0.602;0.878;0.76;1.456;1.61;1.105;1.13;0.087;0.995;*
$;1;33;36;0;0;0.602;0.877;0.76;1.334;1.609;1.105;1.13;0.087;0.995;*
$;1;33;36;0;0;0.602;0.878;0.76;1.091;1.611;1.103;1.131;0.089;0.995;*
$;1;33;37;0;0;0.6;0.878;0.76;1.114;1.611;1.105;1.13;0.087;0.996;*
$;1;33;37;0;0;0.599;0.878;0.761;1.197;1.611;1.105;1.13;0.088;0.995;*
$;1;33;37;0;0;0.6;0.878;0.76;1.453;1.611;1.103;1.128;0.086;0.995;*
$;1;33;38;0;0;0.6;0.878;0.76;1.462;1.611;1.105;1.129;0.088;0.995;*
